username,screen_name,acct_desc,tweet_text,location,following,followers,user_created,tweet_created,retweet_count,favourite_count,favourited,retweeted
Matrickenzy,matrickenzy,,@tohaberry Fair enough #FUOHEALTH,,14,1,Fri Oct 25 10:32:03 +0000 2019,Thu Oct 15 06:51:24 +0000 2020,0,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo",@tohaberry Just fair.There's room for improvement #FUOHEALTH,"Lagos, Nigeria",449,337,Wed Oct 03 18:27:44 +0000 2018,Tue Oct 13 08:26:55 +0000 2020,0,1,False,False
Sir Boluwatife ⭕,iambammo,"A Proud Muslim,
Addicted to Arsenal FC 😍,
Burna Boy Freak 💯,
Political Scientist",@tohaberry No problem #FUOHEALTH,"Osun, Nigeria",686,307,Sat Feb 14 17:24:43 +0000 2015,Mon Oct 12 18:04:31 +0000 2020,0,0,False,False
Oyindamola,Ohyindarh,,"@tohaberry It's not bad, but still need improvement #FUOHEALTH","Lagos, Nigeria",62,3,Fri Jul 15 19:05:57 +0000 2016,Mon Oct 12 17:28:11 +0000 2020,0,0,False,False
Atoba Mubaraq,AtobaMubaraq,An easy going person and a dog lover,@tohaberry Well. Average. #FUOHEALTH,,92,6,Wed Jan 08 10:15:31 +0000 2020,Mon Oct 12 15:10:13 +0000 2020,0,1,False,False
Enny,enny__tan,Music & Vacations,@tohaberry No problem #FUOHEALTH,"Lagos, Nigeria",1055,1145,Tue Jan 09 11:43:55 +0000 2018,Mon Oct 12 14:40:59 +0000 2020,0,0,False,False
ROADMAN,jerziieSZN,Youngin' with an Addiction. 😎 Football & Music ⚡. |Content Creator and all round Social Entrepreneur|,"@tohaberry None, whatsoever. #FUOHEALTH","in d Future already, bruh....",1068,657,Sun Oct 20 10:47:22 +0000 2019,Mon Oct 12 14:33:41 +0000 2020,0,0,False,False
Haauwaarh🌹,Haauwaarh_,,@tohaberry The health workers there are really trying #FUOHEALTH,,145,88,Wed Oct 25 14:38:51 +0000 2017,Mon Oct 12 14:27:13 +0000 2020,0,0,False,False
Adetayo Balogun,AdetayoBalogun4,,@tohaberry It’s okay #FUOHEALTH,,53,5,Mon Sep 14 18:48:59 +0000 2020,Mon Oct 12 14:24:02 +0000 2020,0,0,False,False
_the.maryam,themaryam13,"Just for the fun of it 🍻
IG: _the.maryam",@tohaberry Not bad #FUOHEALTH,,86,58,Mon Sep 07 06:37:44 +0000 2020,Mon Oct 12 14:11:31 +0000 2020,0,0,False,False
Adesola🥰,__Aaisha_,IG:IG:_tz_tania & voguesbyeeshah,@tohaberry Fair #FUOHEALTH,"Lagos, Nigeria",87,66,Mon Jul 29 15:18:00 +0000 2019,Mon Oct 12 14:08:14 +0000 2020,0,0,False,False
Maryam,_maryambash,Youtuber✨,@tohaberry No problem #FUOHEALTH,Nigeria,45,14,Fri Nov 08 19:01:12 +0000 2019,Mon Oct 12 14:07:51 +0000 2020,0,0,False,False
Yusbakly,yusbakly,Blogger...,@tohaberry #FUOHEALTH poor documentation,"Abeokuta, Nigeria",1200,115,Sun Oct 07 06:01:16 +0000 2018,Mon Oct 12 13:21:09 +0000 2020,0,1,False,False
Ligali#mali#,ligali_maryam,Simple girl /withprinciples/,"@tohaberry Fair, but there's a lot to be improved #FUOHEALTH","Lagos, Nigeria",343,245,Mon Mar 18 16:49:14 +0000 2019,Mon Oct 12 08:43:17 +0000 2020,0,0,False,False
Nifty😉😉,Omowonu40616764,Never judge a book by its cover,@tohaberry No issues #FUOHEALTH,"Oyo, Nigeria",69,5,Sun May 03 10:28:16 +0000 2020,Mon Oct 12 05:44:48 +0000 2020,0,1,False,False
Shadow_Walker,raji_bayonle,,@tohaberry Fair #FUOHEALTH,"Ibadan, Nigeria",53,23,Fri Oct 21 05:42:47 +0000 2016,Sun Oct 11 13:53:12 +0000 2020,0,1,False,False
Zainab,ban_iaz,"proud Muslimah🧕
Accountant
October 4
ig@ ban_iaz_","@tohaberry It is fair, but they need to improve #FUOHEALTH","Lagos, Nigeria",57,22,Fri Nov 15 15:54:57 +0000 2019,Sun Oct 11 12:37:32 +0000 2020,0,1,False,False
Boujee Pheedheart,AdesanyaNafisa1,"Cryptotrader
Tairus
Boujee Bad and Thick","@tohaberry Fair
#FUOHEALTH",Nigeria,73,18,Sun Oct 11 11:03:11 +0000 2020,Sun Oct 11 12:32:21 +0000 2020,0,0,False,False
Rafeeharh😍😍,Ardeekayla,"🇳🇬 Beauty |Muslim|Food lover|Cake lover| Always remember to smile 😊😊
I.G:@_feeharh",@tohaberry It's okay #FUOHEALTH,Earth,433,369,Fri Dec 09 15:44:23 +0000 2016,Sat Oct 10 21:33:29 +0000 2020,0,1,False,False
Ibrahim Aisha,Ibrahim86196636,,@tohaberry It's pretty okay #FUOHEALTH,,24,1,Sun May 17 21:54:56 +0000 2020,Sat Oct 10 12:16:31 +0000 2020,0,0,False,False
ذكرةالله ❤,adhikrah,"D.H.I.K.R.A.H.❤
.
.
Novel lover 📚
.
.
Muslimah🌼🌼
.
.
Accountant 📖
.
.
Capricorn♑",@tohaberry They're trying but they should be more improvements. #FUOHEALTH,Earth,254,261,Sun Jul 03 11:00:22 +0000 2016,Sat Oct 10 09:18:59 +0000 2020,0,2,False,False
thatligthskinnedguy,KelixIts,"i sleep wake up eat, bath at times 
watch anime play game.
🔃",@tohaberry No issue at all #FUOHEALTH,,226,51,Sat May 04 11:10:21 +0000 2019,Sat Oct 10 09:16:43 +0000 2020,0,0,False,False
Otunba Ramzy 🇳🇬,Yungramzy,"PR and Marketing Enthusiast || Half gryffindor🐆 || Half Slytherin 🐍
Chelsea fan till the end",@tohaberry Its not bad #FUOHEALTH,"Lagos,Nigeria",1132,1163,Mon Jul 30 22:47:17 +0000 2012,Sat Oct 10 08:42:00 +0000 2020,0,1,False,False
fai_zah,phahee_zhar,"¶My bio doesn't define who i am in real life just stick to the twitter me¶ i follow back¶¶.
IG: threexixty",@tohaberry Fair enough #FUOHEALTH,"Lagos, Nigeria",386,167,Sat Jul 27 07:57:33 +0000 2019,Sat Oct 10 08:35:01 +0000 2020,0,1,False,False
Taheersm,taheertaheersm,Creative. IG - https://t.co/OJYSaKCE5g,@tohaberry It's fine #FUOHEALTH,,175,134,Mon Jul 08 16:58:31 +0000 2019,Sat Oct 10 08:31:34 +0000 2020,0,1,False,False
reemah,r73793908,,@tohaberry Okay #FUOHEALTH,,28,0,Sun May 06 08:57:15 +0000 2018,Sat Oct 10 08:27:17 +0000 2020,0,1,False,False
The Millienial Muslimah,zahynarbb,Blogger || Lifestyle  || Self Help || Books Emotional Wellness,@tohaberry No issues #FUOHEALTH,"Lagos, Nigeria",241,210,Sat Mar 31 22:11:11 +0000 2018,Sat Oct 10 08:26:25 +0000 2020,0,0,False,False
Callmemoji,zeethemama,"Just a girl , iCons forever till eternity, TeamLaycon",@tohaberry It’s okay #FUOHEALTH,"Abeokuta, Nigeria",99,108,Thu Feb 28 00:44:01 +0000 2019,Sat Oct 10 07:06:16 +0000 2020,0,0,False,False
Ruthie❣️❣️❣️,Ruthie_1107,IG: I_m_ruthie// olaniyan bose ruth july 11 chic,@tohaberry Okay #FUOHEALTH,,156,61,Wed Dec 10 20:23:41 +0000 2014,Fri Oct 09 20:44:48 +0000 2020,0,0,False,False
A M I N A T,Meenart_,,@tohaberry It's okay #FUOHEALTH,"Lagos, Nigeria",175,154,Sun Jun 02 17:37:22 +0000 2019,Fri Oct 09 20:43:06 +0000 2020,0,0,False,False
The targent,thorlahney,,@tohaberry Not that bad #FUOHEALTH,,103,33,Sat Jul 06 09:50:06 +0000 2019,Fri Oct 09 20:39:00 +0000 2020,0,0,False,False
Abubakri🇳🇬🇳🇬Ireayo,King_rahno,Data scientist💻| pythonista |Young black Muslim👳🏾‍♀️| In 💙with @chelseafc | blogger| Not a feminist ❌ |,@tohaberry Fair    #FUOHEALTH,Somewhere in the space,581,717,Sat Dec 27 11:37:56 +0000 2014,Fri Oct 09 20:35:41 +0000 2020,0,0,False,False
