username,screen_name,acct_desc,tweet_text,location,following,followers,user_created,tweet_created,retweet_count,favourite_count,favourited,retweeted
Matrickenzy,matrickenzy,,@tohaberry It's really expensive to begin with. Network failure is a pain in the *** #FUOONLINEEXAM,,14,1,Fri Oct 25 10:32:03 +0000 2019,Thu Oct 15 06:48:36 +0000 2020,0,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo",@tohaberry It was okay but the consumption of data and it's also time consuming #FUOONLINEEXAM,"Lagos, Nigeria",449,337,Wed Oct 03 18:27:44 +0000 2018,Tue Oct 13 08:26:11 +0000 2020,0,1,False,False
Sir Boluwatife ⭕,iambammo,"A Proud Muslim,
Addicted to Arsenal FC 😍,
Burna Boy Freak 💯,
Political Scientist",@tohaberry It was good #FUOONLINEEXAM,"Osun, Nigeria",686,307,Sat Feb 14 17:24:43 +0000 2015,Mon Oct 12 18:03:58 +0000 2020,0,0,False,False
Oyindamola,Ohyindarh,,"@tohaberry It was okay, but the consumption of data was too much #FUOONLINEEXAM","Lagos, Nigeria",62,3,Fri Jul 15 19:05:57 +0000 2016,Mon Oct 12 17:26:47 +0000 2020,0,0,False,False
Enny,enny__tan,Music & Vacations,@tohaberry It’s was okay #FUOONLINEEXAM,"Lagos, Nigeria",1055,1145,Tue Jan 09 11:43:55 +0000 2018,Mon Oct 12 14:40:26 +0000 2020,0,0,False,False
ROADMAN,jerziieSZN,Youngin' with an Addiction. 😎 Football & Music ⚡. |Content Creator and all round Social Entrepreneur|,@tohaberry It was a welcome development. I can't complain. #FUOONLINEEXAM,"in d Future already, bruh....",1068,657,Sun Oct 20 10:47:22 +0000 2019,Mon Oct 12 14:32:25 +0000 2020,0,0,False,False
Haauwaarh🌹,Haauwaarh_,,@tohaberry It went well....Alhamdulillah the school decided well due to the pandemic #FUOONLINEEXAM,,145,88,Wed Oct 25 14:38:51 +0000 2017,Mon Oct 12 14:26:00 +0000 2020,0,0,False,False
Adetayo Balogun,AdetayoBalogun4,,@tohaberry It was fine #FUOONLINEEXAM,,53,5,Mon Sep 14 18:48:59 +0000 2020,Mon Oct 12 14:22:58 +0000 2020,0,0,False,False
_the.maryam,themaryam13,"Just for the fun of it 🍻
IG: _the.maryam",@tohaberry Pretty nice but the app consumes alot of data #FUOONLINEEXAM,,86,58,Mon Sep 07 06:37:44 +0000 2020,Mon Oct 12 14:10:10 +0000 2020,0,0,False,False
Maryam,_maryambash,Youtuber✨,@tohaberry It went well #FUOONLINEEXAM,Nigeria,45,14,Fri Nov 08 19:01:12 +0000 2019,Mon Oct 12 14:06:52 +0000 2020,0,0,False,False
🚀Mide🚀,Mide34777787,,@tohaberry It was okay but the consumption of data and printing of the exam booklets were the major challenge #FUOONLINEEXAM,Nigeria,117,39,Tue Oct 02 18:00:47 +0000 2018,Mon Oct 12 13:31:15 +0000 2020,0,1,False,False
Yusbakly,yusbakly,Blogger...,@tohaberry #FUOONLINEEXAM very good,"Abeokuta, Nigeria",1200,115,Sun Oct 07 06:01:16 +0000 2018,Mon Oct 12 13:20:26 +0000 2020,0,0,False,False
Shadow_Walker,raji_bayonle,,@tohaberry O wa pa #FUOONLINEEXAM,"Ibadan, Nigeria",53,23,Fri Oct 21 05:42:47 +0000 2016,Sun Oct 11 13:40:10 +0000 2020,0,1,False,False
Zainab,ban_iaz,"proud Muslimah🧕
Accountant
October 4
ig@ ban_iaz_",@tohaberry It was ok but the zoom app consumes alot of data and network was also a major problem #FUOONLINEEXAM,"Lagos, Nigeria",57,22,Fri Nov 15 15:54:57 +0000 2019,Sun Oct 11 12:35:46 +0000 2020,0,1,False,False
Boujee Pheedheart,AdesanyaNafisa1,"Cryptotrader
Tairus
Boujee Bad and Thick","@tohaberry I was actually thinking it will turn out really bad but it was really good and not that stressful for me
#FUOONLINEEXAM",Nigeria,73,18,Sun Oct 11 11:03:11 +0000 2020,Sun Oct 11 12:28:18 +0000 2020,0,0,False,False
Field Marshal,tweet_sadiq,"Military , Real Madrid , Ronaldo , Politics  !",@tohaberry Great 💯 #FUOONLINEEXAM,"Kaduna, Nigeria",502,386,Sat Feb 21 06:37:48 +0000 2015,Sun Oct 11 12:03:21 +0000 2020,0,1,False,False
waheed remtech,remtech_20219,,"@tohaberry Is not easy at all, issues on network and data consumption. But the idea is ok and welcome development #FUOONLINEEXAM",,34,1,Fri Sep 12 13:30:30 +0000 2014,Sun Oct 11 10:32:12 +0000 2020,0,0,False,False
Rafeeharh😍😍,Ardeekayla,"🇳🇬 Beauty |Muslim|Food lover|Cake lover| Always remember to smile 😊😊
I.G:@_feeharh",@tohaberry Great #FUOONLINEEXAM,Earth,433,369,Fri Dec 09 15:44:23 +0000 2016,Sat Oct 10 21:32:21 +0000 2020,0,1,False,False
1ne,awwalthe1stt,,@tohaberry It went well #FUOONLINEEXAM,Abuja,1097,1129,Mon Aug 06 20:18:55 +0000 2018,Sat Oct 10 17:54:13 +0000 2020,0,0,False,False
ذكرةالله ❤,adhikrah,"D.H.I.K.R.A.H.❤
.
.
Novel lover 📚
.
.
Muslimah🌼🌼
.
.
Accountant 📖
.
.
Capricorn♑","@tohaberry It was okay but the consumption of data, printing of exam answer sheet and network were a major challenge. #FUOONLINEEXAM",Earth,254,261,Sun Jul 03 11:00:22 +0000 2016,Sat Oct 10 09:16:30 +0000 2020,0,1,False,False
thatligthskinnedguy,KelixIts,"i sleep wake up eat, bath at times 
watch anime play game.
🔃","@tohaberry It was a good one, the school took the best PATH to avoid delay due to the pandemic #FUOONLINEEXAM",,226,51,Sat May 04 11:10:21 +0000 2019,Sat Oct 10 09:15:51 +0000 2020,0,1,False,False
