username,screen_name,acct_desc,tweet_text,location,following,followers,user_created,tweet_created,retweet_count,favourite_count,favourited,retweeted
Matrickenzy,matrickenzy,,@tohaberry It's okay #FUOPORTAL,,14,1,Fri Oct 25 10:32:03 +0000 2019,Thu Oct 15 06:46:02 +0000 2020,0,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo",@tohaberry The FUO portal is okay too except that they don't update results especially in my department #FUOPORTAL,"Lagos, Nigeria",449,337,Wed Oct 03 18:27:44 +0000 2018,Tue Oct 13 08:24:06 +0000 2020,0,0,False,False
Sir Boluwatife ⭕,iambammo,"A Proud Muslim,
Addicted to Arsenal FC 😍,
Burna Boy Freak 💯,
Political Scientist",@tohaberry Network issue #FUOPORTAL,"Osun, Nigeria",686,307,Sat Feb 14 17:24:43 +0000 2015,Mon Oct 12 18:02:33 +0000 2020,0,0,False,False
Oyindamola,Ohyindarh,,@tohaberry It takes time to load #FUOPORTAL,"Lagos, Nigeria",62,3,Fri Jul 15 19:05:57 +0000 2016,Mon Oct 12 17:25:30 +0000 2020,0,0,False,False
Abubakri🇳🇬🇳🇬Ireayo,King_rahno,Data scientist💻| pythonista |Young black Muslim👳🏾‍♀️| In 💙with @chelseafc | blogger| Not a feminist ❌ |,@tohaberry Network/connection glitch #Fuoportal,Somewhere in the space,581,717,Sat Dec 27 11:37:56 +0000 2014,Mon Oct 12 16:41:09 +0000 2020,0,0,False,False
Atoba Mubaraq,AtobaMubaraq,An easy going person and a dog lover,@tohaberry The portal is actually okay #FUOPORTAL,,92,6,Wed Jan 08 10:15:31 +0000 2020,Mon Oct 12 15:06:01 +0000 2020,0,0,False,False
Enny,enny__tan,Music & Vacations,@tohaberry Bad network #FUOPORTAL,"Lagos, Nigeria",1055,1145,Tue Jan 09 11:43:55 +0000 2018,Mon Oct 12 14:39:33 +0000 2020,0,0,False,False
ROADMAN,jerziieSZN,Youngin' with an Addiction. 😎 Football & Music ⚡. |Content Creator and all round Social Entrepreneur|,@tohaberry None. #FUOPORTAL,"in d Future already, bruh....",1068,657,Sun Oct 20 10:47:22 +0000 2019,Mon Oct 12 14:30:37 +0000 2020,0,0,False,False
Haauwaarh🌹,Haauwaarh_,,@tohaberry It’s okay for me #FUOPORTAL,,145,88,Wed Oct 25 14:38:51 +0000 2017,Mon Oct 12 14:23:16 +0000 2020,0,0,False,False
Adetayo Balogun,AdetayoBalogun4,,@tohaberry Poor network #FUOPORTAL,,53,5,Mon Sep 14 18:48:59 +0000 2020,Mon Oct 12 14:21:51 +0000 2020,0,0,False,False
emmanuel adeleke,eadeleke2000,"Bio loading...
Follow up. Let get to know one another. I assure, you won't regret it.","@tohaberry Network problem most time.
#FUOPORTAL","1294 Herkimer street, Brooklyn",294,32,Fri May 08 22:44:35 +0000 2015,Mon Oct 12 14:17:05 +0000 2020,0,0,False,False
_the.maryam,themaryam13,"Just for the fun of it 🍻
IG: _the.maryam",@tohaberry Connection problem #FUOPORTAL,,86,58,Mon Sep 07 06:37:44 +0000 2020,Mon Oct 12 14:07:55 +0000 2020,0,0,False,False
Adesola🥰,__Aaisha_,IG:IG:_tz_tania & voguesbyeeshah,@tohaberry Takes time to load #FUOPORTAL,"Lagos, Nigeria",87,66,Mon Jul 29 15:18:00 +0000 2019,Mon Oct 12 14:07:27 +0000 2020,0,0,False,False
Maryam,_maryambash,Youtuber✨,@tohaberry Connection problem #FUOPORTAL,Nigeria,45,14,Fri Nov 08 19:01:12 +0000 2019,Mon Oct 12 14:05:35 +0000 2020,0,0,False,False
🚀Mide🚀,Mide34777787,,@tohaberry It takes time to load #FUOPORTAL,Nigeria,117,39,Tue Oct 02 18:00:47 +0000 2018,Mon Oct 12 13:29:29 +0000 2020,0,1,False,False
Yusbakly,yusbakly,Blogger...,@tohaberry #FUOPORTAL network problem,"Abeokuta, Nigeria",1200,115,Sun Oct 07 06:01:16 +0000 2018,Mon Oct 12 13:19:44 +0000 2020,0,1,False,False
Ligali#mali#,ligali_maryam,Simple girl /withprinciples/,@tohaberry It was okay #FUOPORTAL,"Lagos, Nigeria",343,245,Mon Mar 18 16:49:14 +0000 2019,Mon Oct 12 08:47:01 +0000 2020,0,0,False,False
Nifty😉😉,Omowonu40616764,Never judge a book by its cover,@tohaberry It takes time to load #FUOPORTAL,"Oyo, Nigeria",69,5,Sun May 03 10:28:16 +0000 2020,Mon Oct 12 05:33:04 +0000 2020,0,1,False,False
Abdulqadr Ibrahim,abdulqadr31,,@tohaberry It it okay #FUOPORTAL,,210,106,Fri Jan 29 20:53:41 +0000 2016,Sun Oct 11 23:26:34 +0000 2020,0,1,False,False
Shadow_Walker,raji_bayonle,,@tohaberry Waiting time is too long #FUOPORTAL,"Ibadan, Nigeria",53,23,Fri Oct 21 05:42:47 +0000 2016,Sun Oct 11 13:39:15 +0000 2020,0,0,False,False
Boujee Pheedheart,AdesanyaNafisa1,"Cryptotrader
Tairus
Boujee Bad and Thick","@tohaberry Apart from it taking time to load a page, It's almost highly efficient
#FUOPORTAL",Nigeria,73,18,Sun Oct 11 11:03:11 +0000 2020,Sun Oct 11 12:23:51 +0000 2020,0,0,False,False
