username,screen_name,acct_desc,tweet_text,location,following,followers,user_created,tweet_created,retweet_count,favourite_count,favourited,retweeted
waheed remtech,remtech_20219,None, @phahee_zhar Excellently.. it keep us busy during the lockdown. But the network is poor and the system can’t handle much data at a time #FUOLMS,None,34,1,2014-09-12,2020-10-13,0,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo","RT : How well did the LMS  system work for you?
Leave an answer and remember to use the hash tag #FUOLMS","Lagos, Nigeria",448,337,2018-10-03,2020-10-13,1,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo", It was okay #FUOLMS,"Lagos, Nigeria",448,337,2018-10-03,2020-10-13,0,1,False,False
Sir Boluwatife ⭕,iambammo,"A Proud Muslim,
Addicted to Arsenal FC 😍,
Burna Boy Freak 💯,
Political Scientist", It was okay #FUOLMS,"Osun, Nigeria",686,307,2015-02-14,2020-10-12,0,0,False,False
Oyindamola,Ohyindarh,None," It was okay, just the network issue #FUOLMS","Lagos, Nigeria",62,3,2016-07-15,2020-10-12,0,0,False,False
Aleena,Sheisaleena,Be the love and the light❌ @Burnaboy fan😍It's REX DAMINI, Quite okay to some certain extents #fuolms,None,20,9,2020-08-26,2020-10-12,0,1,False,False
ahmad ahmad awelenje,AhmadAwelenje,None," It was fair, but It is not really useful for some courses with calc. like maths, phy and the likes anyway #FUOLMS",Nigeria,31,12,2016-06-19,2020-10-12,0,0,False,False
Enny,enny__tan,Music & Vacations, It’s was okay #FUOLMS,"Lagos, Nigeria",1056,1144,2018-01-09,2020-10-12,0,0,False,False
Adetayo Balogun,AdetayoBalogun4,None," Aside from the network issues, it’s quite okay #FUOLMS",None,53,5,2020-09-14,2020-10-12,0,0,False,False
Haauwaarh🌹,Haauwaarh_,None, It was fair #FUOLMS,None,145,88,2017-10-25,2020-10-12,0,0,False,False
ROADMAN,jerziieSZN,Youngin' with an Addiction. 😎 Football & Music ⚡. |Content Creator and all round Social Entrepreneur|, It worked well for me. Even if network issues attempted to sabotage some of the lectures. #FUOLMS,"in d Future already, bruh....",1067,657,2019-10-20,2020-10-12,0,0,False,False
emmanuel adeleke,eadeleke2000,"Bio loading...
Follow up. Let get to know one another. I assure, you won't regret it."," It was okay. Though, I didn't get to attend class really well but I was able to go back to what we were taught.
#FUOLMS","1294 Herkimer street, Brooklyn",294,32,2015-05-08,2020-10-12,0,0,False,False
Atoba Mubaraq,AtobaMubaraq,An easy going person and a dog lover, It worked well. The only issue I had was that it kept logging me out during lectures #FUOLMS,None,92,6,2020-01-08,2020-10-12,0,0,False,False
_the.maryam,themaryam13,"Just for the fun of it 🍻
IG: _the.maryam"," Well, not bad #FUOLMS",None,86,59,2020-09-07,2020-10-12,0,0,False,False
Agbetoba Kofoworola,queenteenie_,👑teenie tu persona favorita with caramel toppings 🤯  Champagne mixed with rosé gold🎈 I’m obsessed with spaghetti 😂😩😪, Not bad #FUOLMS,"Lagos, Nigeria",115,89,2017-11-15,2020-10-12,0,3,False,False
🚀Mide🚀,Mide34777787,None," It worked well though aside from the network
#FUOLMS",Nigeria,117,39,2018-10-02,2020-10-12,0,2,False,False
Haryo👓,Ayo37415604,None, Not too bad #FUOLMS,"Lagos, Nigeria",206,53,2019-09-19,2020-10-12,0,0,False,False
Yusbakly,yusbakly,Blogger..., #FUOLMS Very poor,"Abeokuta, Nigeria",1198,115,2018-10-07,2020-10-12,0,1,False,False
Maryam,_maryambash,Youtuber✨, Not bad #FUOLMS,Nigeria,45,14,2019-11-08,2020-10-12,0,0,False,False
Ligali#mali#,ligali_maryam,Simple girl /withprinciples/," It was fair. On one hand, network issue and on the other, teaching calculations was a little difficult #FUOLMS","Lagos, Nigeria",343,245,2019-03-18,2020-10-12,0,1,False,False
Nifty😉😉,Omowonu40616764,Never judge a book by its cover," Well... Aside from the network issues, it was quite okay #FUOLMS","Oyo, Nigeria",69,5,2020-05-03,2020-10-12,0,2,False,False
Shadow_Walker,raji_bayonle,None, Good #FUOLMS,"Ibadan, Nigeria",53,23,2016-10-21,2020-10-11,0,0,False,False
DammyYo💡,DammyYo_,"#Gemini
Papa's Daughter 🤤❤️
30BG💯
Proudly Marlian✌️
iCON💡", Pretty good #FUOLMS,None,852,825,2020-06-29,2020-10-11,0,1,False,False
Boujee Pheedheart,AdesanyaNafisa1,"Cryptotrader
Tairus
Boujee Bad and Thick"," It was Fair enough since it helped us in moving forward on our syllabus but I still encountered some network issues
#FUOLMS",Nigeria,73,17,2020-10-11,2020-10-11,0,1,False,False
Field Marshal,tweet_sadiq,"Military , Real Madrid , Ronaldo , Politics  !", Average #FUOLMS,"Kaduna, Nigeria",503,387,2015-02-21,2020-10-11,0,1,False,False
Zainab,ban_iaz,"proud Muslimah🧕
Accountant
October 4
ig@ ban_iaz_", It was fair #FUOLMS,"Lagos, Nigeria",57,22,2019-11-15,2020-10-11,0,1,False,False
Oloruntosin,Oloruntosin16,Ok, It was okay #FUOLMS,None,396,86,2019-08-08,2020-10-11,0,1,False,False
waheed remtech,remtech_20219,None, Excellently #FUOLMS,None,34,1,2014-09-12,2020-10-11,0,0,False,False
Rafeeharh😍😍,Ardeekayla,"🇳🇬 Beauty |Muslim|Food lover|Cake lover| Always remember to smile 😊😊
I.G:@_feeharh", Annoying #FUOLMS,Earth,434,367,2016-12-09,2020-10-10,0,0,False,False
Rafeeharh😍😍,Ardeekayla,"🇳🇬 Beauty |Muslim|Food lover|Cake lover| Always remember to smile 😊😊
I.G:@_feeharh", It really worked well #FUOLMS,Earth,434,367,2016-12-09,2020-10-10,0,1,False,False
1ne,awwalthe1stt,None, No issues #FUOLMS,Abuja,1097,1129,2018-08-06,2020-10-10,0,0,False,False
👑Omarrr,kvng_umar,❤️ @manutd, No issues #FUOLMS,"Lagos, Nigeria",798,175,2015-12-25,2020-10-10,0,0,False,False
👑Omarrr,kvng_umar,❤️ @manutd, It's was alright #FUOLMS,"Lagos, Nigeria",798,175,2015-12-25,2020-10-10,0,0,False,False
