username,screen_name,acct_desc,tweet_text,location,following,followers,user_created,tweet_created,retweet_count,favourite_count,favourited,retweeted
waheed remtech,remtech_20219,,@tohaberry @phahee_zhar Excellently.. it keep us busy during the lockdown. But the network is poor and the system can’t handle much data at a time #FUOLMS,,34,1,Fri Sep 12 13:30:30 +0000 2014,Tue Oct 13 19:57:45 +0000 2020,0,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo","RT @tohaberry: How well did the LMS  system work for you?
Leave an answer and remember to use the hash tag #FUOLMS","Lagos, Nigeria",448,337,Wed Oct 03 18:27:44 +0000 2018,Tue Oct 13 08:20:36 +0000 2020,1,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo",@tohaberry It was okay #FUOLMS,"Lagos, Nigeria",448,337,Wed Oct 03 18:27:44 +0000 2018,Tue Oct 13 08:20:34 +0000 2020,0,1,False,False
Sir Boluwatife ⭕,iambammo,"A Proud Muslim,
Addicted to Arsenal FC 😍,
Burna Boy Freak 💯,
Political Scientist",@tohaberry It was okay #FUOLMS,"Osun, Nigeria",686,307,Sat Feb 14 17:24:43 +0000 2015,Mon Oct 12 18:03:09 +0000 2020,0,0,False,False
Oyindamola,Ohyindarh,,"@tohaberry It was okay, just the network issue #FUOLMS","Lagos, Nigeria",62,3,Fri Jul 15 19:05:57 +0000 2016,Mon Oct 12 17:24:31 +0000 2020,0,0,False,False
Aleena,Sheisaleena,Be the love and the light❌ @Burnaboy fan😍It's REX DAMINI,@tohaberry Quite okay to some certain extents #fuolms,,20,9,Wed Aug 26 19:02:11 +0000 2020,Mon Oct 12 17:15:22 +0000 2020,0,1,False,False
ahmad ahmad awelenje,AhmadAwelenje,,"@tohaberry It was fair, but It is not really useful for some courses with calc. like maths, phy and the likes anyway #FUOLMS",Nigeria,31,12,Sun Jun 19 17:08:36 +0000 2016,Mon Oct 12 16:53:31 +0000 2020,0,0,False,False
Enny,enny__tan,Music & Vacations,@tohaberry It’s was okay #FUOLMS,"Lagos, Nigeria",1056,1144,Tue Jan 09 11:43:55 +0000 2018,Mon Oct 12 14:38:01 +0000 2020,0,0,False,False
Adetayo Balogun,AdetayoBalogun4,,"@tohaberry Aside from the network issues, it’s quite okay #FUOLMS",,53,5,Mon Sep 14 18:48:59 +0000 2020,Mon Oct 12 14:20:59 +0000 2020,0,0,False,False
Haauwaarh🌹,Haauwaarh_,,@tohaberry It was fair #FUOLMS,,145,88,Wed Oct 25 14:38:51 +0000 2017,Mon Oct 12 14:20:38 +0000 2020,0,0,False,False
ROADMAN,jerziieSZN,Youngin' with an Addiction. 😎 Football & Music ⚡. |Content Creator and all round Social Entrepreneur|,@tohaberry It worked well for me. Even if network issues attempted to sabotage some of the lectures. #FUOLMS,"in d Future already, bruh....",1067,657,Sun Oct 20 10:47:22 +0000 2019,Mon Oct 12 14:14:08 +0000 2020,0,0,False,False
