Tweet_Text,class,polarity
"  The citizens taking their Covid19 palliatives are not criminal. They're hungry youths, who are trying to survive with what is available",positive,0.30000000000000004
"DONT LOOSE CONCENTRATION!!!!!!!!!!!we re still on this""",positive,-0.07692307692307693
"Can we crowdfund something like this so it can be used for sensitization across the 36 states?""",positive,0.0
"Use your voice and drown them. Their propaganda will fail. The world is listening.""",negative,-0.3
"We still have the powers to demand accountability from the federal government of Nigeria  from our homes. Don t stop asking for it""",positive,0.0
"This video needs to go viral aggresively. Share on other platforms please.  """,negative,-0.125
"Fowl yansh don dey open. I thought the army denied that their men were at the toll gate. """,neutral,0.0
"  Who ordered the shooting of peaceful protesters at lekki on the 20th of October,2020??? ",negative,0.125
"   Protest Continues In Germany, London Despite Crackdown On Demonstrators In Nigeria",positive,0.0
"gave us this dope jam. A win for me. """,positive,0.8
"  A 52 year old man in PDP has only a Waec certificate, no bsc or anything and someone will na come and tell me WHAT AN ELDER ",negative,0.05
"Nigerians in Italy took to the streets to denounce  !  """,negative,0.0
"E be like na one mind everybody use wake up this morning  everywhere We went on commercial break before""",neutral,0.0
"You can t watch this and stay silent! The people need our help! We won t be silenced.  """,positive,0.0
"God bless him.The oppressed citizens we have in Nigeria are blaming protesters instead of blaming the oppressive government""",negative,0.0
"  Hey,  we saw how you helped amplify the voices of millions of Nigerians by giving them a custom emoji for the ",positive,0.0
"  I am providing a palliative of 20000 each to 10 people whose shops, businesses and enterprises were either looted or damaged",positive,0.0
"-  We haven t forgotten the senseless killing of the unarmed peaceful  protesters at the lekki""",negative,0.25
"  The govt be like, let them loot businesses and kill people so they'll need the police and even if we send the sars/swat",negative,0.0
  My brother Matthew lost his life during a sickle cell crisis in Nigeria when he was 10,negative,0.0
"Forensic Analysis Proves Videos Of Killings Are Genuine""",negative,0.35
"One of the  in 2014 said anytime she hears people say  abduction never happened she asks herself""",negative,0.0
"  Viewer discretion! Just like DJ Switch, someone else covered a live footage of the Lekki Massacre. This one shows vividly",neutral,0.13068181818181818
"Remember them before you go to bed.  """,positive,0.0
"Some Nigerians are so dedicated man. Any tweet they see  they just leave a comment. God bless you guys.""",positive,0.0
"NEVER Heard or seen A MORE USELESS GOVERNMENT""",negative,0.0
"Emma Nyra  singing the National anthem at the Dallas  protest """,positive,0.0
"The evidence is there. The theory of the case is clear. The injustice is glaring. The international attention is there""",negative,0.05000000000000001
"  Ok listen. I m a fighter, always been. You knock me down 9 times? I get up 10 so it s  till it ends. Goodnight",neutral,0.17222222222222222
"   protest in Raleigh, NC. We re all in this together. We go dey alright.  ",negative,0.0
" Alongside every police criminals, not the photoshopped one by",negative,0.0
"   FG sets up N25bn youth fund, says finance minister ",neutral,0.0
"  The Police man that shot innocent 17 year old Tina Ezekwe is still out there, no justice for her. This is why we are fighting",negative,0.3
"  This happened this morning at Warri,   Army shooting youth for defuncting the Curfew impose by the Governor Okowa",negative,0.0
"Paris protest day 4 was great. Biggest turnout we ve had so far. We marched in honour of all the lives lost this week  to sars""",positive,0.45
"if you want them to  """,neutral,0.0
"  I saw a tweet that said,  we can t defeat 60 years of oppression in just 2 weeks  And just like that, my hope was reborn. ",positive,0.0
"  CHICAGO: Protest &amp; Prayer Walk for Nigeria - Candlelight ServiceDemands: End SARS, End Police Brutality, Reform the Police",positive,0.0
"  I appeal to  to guarantee the fundamental freedoms of peaceful protesters in Nigeria, including their right to protest",positive,0.26785714285714285
"Any of  Protesters who senses that the goons of  are trailing them for arrest should please raise an alarm""",negative,-0.05
"A TRAP!!!!!!!!!!!! Young Nigerians with  banners or boards in their trunk are being arrested by soldiers at the VGC""",negative,0.1
"Seun Kuti should be protected at all costs!! Coz I mean this guy is spitting facts upon facts!    """,positive,-0.390625
"  You see this sars? We must end it. By hook or by crook. By protesting or by educating. Whether they like it or not, Sars must end",negative,0.0
"Those Who Were Shot At  Have Questions To Answer. They Could Be Criminals -Tinubu Is this man high on drug?""",negative,0.16
"    Stay Strong, Stay Safe,  Arsenal Send Message To Nigerian Fans ",positive,0.4666666666666667
"  For Oke and the brave men and women of the Lekki Tollgate, I cannot stop, I will not stop. Neither should you.",positive,0.8
"  JUST IN: Looting is not a protest. If you are looting your brother s business, you are not more than the SARS guys we are protesting against",positive,-0.25
"  If this pops on your timeline, just retweet don't say anything  ",neutral,0.0
"No comment just a RETWEET to appreciate this Nigerian Airforce Officer for such a show of professionalism""",positive,0.0
"  Hey,  we saw how you helped amplify the voices of millions of Nigerians by giving them a custom emoji, thanks",positive,0.2
"Shoutout to our brothers in Toronto Canada who show love to their love once who was shot by the Nigeria soldiers in a peaceful protest""",positive,0.4166666666666667
"  This is a Journalist with the Nigerian Television Authority, NTA, the Nigerian Govt owned Propaganda media but she went ahead and spoke the truth",positive,-0.1
"Nobody has resigned. Nobody has been sacked. Nobody has been arrested. People were shot in Lekki. People were shot in Surulere""",negative,0.0
"  Lekki happened, it was a massacre, it was a genocide and the highest authorities in the land ordered it",negative,0.0
"   FG To Set Up N25bn Youth Fund, As Kaduna Holds Stakeholders Meeting ",positive,0.0
"It will cost you nothing to retweet this. """,neutral,0.0
"No better words.""",neutral,-0.25
"SARS are back on the streets """,neutral,0.0
"Don t forget that Dj Switch saved BBN party and her country in one year """,positive,0.0
  Its been 2wks since  was murdered by  and not a single arrest made,negative,-0.007142857142857145
"Latest on the situation in  : Amnesty confirms 12  protestors were killed by soldiers in Lagos 2 nights ago""",negative,0.15
"Bonny camp ARMY just left the barrack Witt fully loaded Force, I don't know where they are moving to but I guess lekki",negative,0.15
"Throw back and a gentle reminder that the  protest was very peaceful until a certain governor invited thugs to distrupt it""",negative,0.18482142857142858
"All these palliatives locations suddenly released to the public is a deliberate distraction tactic""",negative,0.0
"  If this pops on your timeline, retweet with ANGER    ",negative,-0.7
"  If Sars officials are back on the road, let's take pictures on them with filters that show date.Else the government will deny it",negative,0.0
"Protests are still ongoing in different places. The least we can do is amplify  tweets.""",positive,-0.15
"No government should send soldiers or policemen to shoot or arrest those looting  palliatives from warehouses.""",negative,-0.05
"They know if we're united we would have one voice, If we have one voice, we have power ",positive,0.0
"  Fellow Nigerians. Let's see the  protests as the beginning of the notion that as a people,we have the power to rally againt the government",negative,0.0
"  Sarz don resume work for Street, Make we self Resume!!Wahala for person wey no Retweet!ASUU",negative,0.0
"Learn about the  HISTORY REPEATS ITSELF AGAIN  WATCH and LEARN """,positive,0.0
"Kudos to these guys!!!. Sensitization has started.  """,positive,0.0
"Whom the gods wish to destroy .. they first make mad. """,negative,-0.19166666666666665
"Woke up realising that people died for this and it doesn't seem right for us to have moved on so seamlessly. People died. """,negative,0.19285714285714284
"You eased up the Curfew but SARS are still on the street? We ve not given up ooo """,positive,0.0
This is the coloured photo. Thank you,positive,0.0
"We are not going to ignore Lekki Massacre. We are not going to ignore Lekki Massacre. We are not going to ignore leki""",positive,0.0
"Video evidence exposes how unarmed peaceful protesters were  deliberately killed by   for awareness!  """,negative,0.0
"The turnout was insane  """,positive,-1.0
  Protests are still taking place in other parts of Nigeria. This movement is bigger than Lagos.,negative,-0.0625
"  You don t need to say anything, just  When you see it.  ",negative,0.0
"Let s not forget brothers and sisters who died fighting for a better and safer Nigeria for all of us. """,negative,0.5
"  Every time I come across this picture, my heart melts We can't let our people down, we must  ",positive,-0.15555555555555559
"Yes basically It means to end police brutality SARS (Special Anti- Robbery Squad) was created to pretect to to kill civilians""",negative,0.35714285714285715
"  Hey,  we saw how you helped amplify the voices of millions of Nigerians by giving them a custom emoji for the   movement",positive,0.0
"  The SARS guys on the streets, who gave them the order? How can you claim to dissolve and disband but we still see?",negative,0.0
"  Internet is down, Twitter retweet button is not working!     ",negative,-0.19444444444444448
"  Contrary to what the government is saying, doctors confirm casualties and deaths from the Lekki shooting. ",negative,0.0
"  Last night, we had a candlelight vigil at the Nigerian Embassy in Washington DC to honor the souls of our compatriots who went down",negative,-0.07777777777777779
"Forensic Analysis Proves Videos Of Killings Are Genuine please spread it for everyone to see  """,negative,0.35
"Nigerians in Canada honour those who lost their lives fighting for  Toronto Canada Candle Light  """,positive,0.4
"Unconfirmed report that police allegedly attack a vanguard reporter.    """,positive,-0.1
"  People are being arrested for having  placards in their boot at VGC, by soldiers! I saw this with my own eyes!! please help",negative,0.9375
"PHOTOS: How persons with disability defied the odds to protest against police brutality | TheCable """,negative,0.0
"Back at it!!! Nigerian government!!!!  .""",neutral,0.0
"Just heard    news on Canadian radio station. It was accurately reported. The fight is not over""",negative,0.4000000000000001
"Protests are still ongoing in several parts of the country and abroad. Nigeria doesn t start or end in Lagos. """,negative,0.0
"London  protesters take to the streets. """,negative,0.0
"This is the face of the man who killed 17yr old Ifunanya Amadike in 2018. His name is CSP Eyo AKA Calabar. """,negative,-0.05
"Another thing. All eyewitness accounts tallied. There was no loophole or gaps in their story.""",positive,0.0
"The trauma of it all. This why our parents never healed """,negative,0.0
"I hope there are human rights lawyers preparing themselves to take on the Lekki Massacre case in an international court""",neutral,0.0
"This one took an oath to save lives.      """,positive,0.0
"Another beautiful day to """,neutral,0.85
"protests going strong here in  Turnout is impressive. """,positive,0.7166666666666667
"Facts!!!Another strategy to distract the youths    """,negative,0.0
"Footage of the army going to the toll-gate on the day of   """,neutral,0.0
"Gaslighting a whole nation? Are you not angry? Do you still want to move around in fear of being harassed? """,negative,0.225
"We were too busy dancing to take in what he was actually saying! """,negative,0.05
"People died to end this nonsense but here we are again  """,negative,0.0
"the protest will die a natural death.  """,positive,0.1
"  SARS have resumed, omo protest don resume be that o because I CANNOT go back that police brutality life. ",positive,0.0
"  Plateau State Govt denies hoarding COVID-19 palliatives, says  protests delayed distribution process",negative,0.0
"Nigerians in London are not backing down on the  protest.  According  to  they are trekking through central Lagos""",negative,-0.07777777777777779
"Remember the goal  Good night""",neutral,0.7
"It saddens my heart that people are already forgetting that we are still in this fight!!!""",negative,0.0
"  I don t support looting, but the video of people sharing  palliatives they got from a government warehouse to the pulic is okay",negative,0.5
"   Mississauga, CanadaRemain focusedGive them the international disgrace they re looking for!  ",negative,0.0
"  You see that energy we brought with us the first week of this  campaign, let s bring it back",positive,0.125
Seeing my people suffer like this is heartbreaking  right now  we all need to continue to make awareness,positive,0.2857142857142857
"It s still fuck the police, fuck the Nigerian Government, RIP to the dead warriors and ",negative,-0.3333333333333333
It will cost you $0 to retweet these  pictures,negative,0.0
"  A baby in this school is constantly molested by her dad, she s just 11 in primary 5. Please if you know who can help out",negative,0.2
Where can we donate to help,positive,0.0
We know this card all too well. The victim blaming card. The  What we re you wearing  card . The rot is bloody deep !,negative,-0.2916666666666667
